,ARTEMISMED,EIHOTEL,VEDL,VBL,AADHARHFC,BERGEPAINT,EMAMILTD,CREATIVE,HCG,AUBANK,CCL,NEWGEN,FORTIS,INTELLECT,AXISBANK,BHARATFORG,MAXHEALTH,KAJARIACER,WHIRLPOOL,HCLTECH,INFY,NH,BHARTIHEXA,ICICIGI,UBL,GLENMARK,KIRLOSBROS,KOTAKBANK
ARTEMISMED,1.0,-0.004033250559552278,0.06421356276726879,0.07934066944148273,0.025970530467824295,0.02434085405844644,0.022167239487981796,0.07253640927602607,0.06884795194801278,0.11824487546441532,0.014487160902062764,0.009426810883196291,0.020180772231838683,0.06980322917398954,0.05702543328817212,0.05368185865909531,0.0249870208706219,0.012109671462954339,0.11024383747651359,-0.014025094695367425,0.04523567799428953,0.05319896957518678,0.013288709033836974,0.01030926568979662,0.09873000659592344,0.057856511226164364,0.07395358509768363,0.05041351071884354
EIHOTEL,-0.004033250559552278,1.0,0.08708113830089455,0.07643793913510756,0.07116208256709738,0.07931338350157441,0.061606649651878974,0.020590466424263522,0.0419038886392776,0.07675948977876051,0.09371026204981946,0.04525968482060911,0.020913874745553063,0.0174135159945024,0.010238343794011536,0.05135665180713024,0.022038377606131143,0.014404916885191604,0.055805012138252244,0.025641062772500188,-0.006860199721216396,0.0588725082238523,-0.0029246975420098046,0.07030947329697651,0.09472443620618849,0.015103718044601666,0.09287893812988304,0.03630158287291698
VEDL,0.06421356276726879,0.08708113830089455,1.0,0.07407385110169432,0.045556843560207144,-0.012105913544831634,0.08253559780633929,0.03876986263529266,0.07894490982644572,0.09530954112645443,0.04212690376569999,0.07395601026217864,0.058378525876805684,0.08735672871452475,0.05638377748328928,0.08450395170871058,0.04931955853945025,0.03187562612091554,0.0375038529263579,0.10067334317805042,0.09748533968405577,0.07072059762811159,0.039073621121524446,0.05707251652425605,0.04478548547663292,0.16000681129743768,0.06847469217579047,0.0719537275602731
VBL,0.07934066944148273,0.07643793913510756,0.07407385110169432,1.0,0.1583260049601616,0.0876080440072907,0.07802296795119915,0.09555240627519301,0.06301111382883287,0.02329245084172732,0.06559698516967445,0.010598876116019527,0.010137378510735855,0.06360262948483693,0.05970712164038042,0.06079449207593557,0.04644298722618168,0.053799671469375455,0.0493833101648762,0.07436633283861996,0.0662550342721211,0.0323770126000468,-0.035987842357436434,0.10989869825428202,0.07645684597578685,0.09610258002696682,-0.011756311489856314,0.13935547221996392
AADHARHFC,0.025970530467824295,0.07116208256709738,0.045556843560207144,0.1583260049601616,1.0,0.015314278647478967,0.00051394885932264,0.0059235901951633415,0.062015212680973424,0.0560759343830785,0.07592897801648106,0.04724089705841486,0.04004005291780175,-0.010205700723622022,0.04939540047907632,0.14799182348376622,0.05807957081699417,0.03953626785287033,0.02343494452687045,0.019901473815613337,0.003261792757208496,0.015598027626781677,0.09959517252236111,0.10853129806069911,0.017539112047967615,0.09167315959753165,0.13951096245482977,0.03296527899489822
BERGEPAINT,0.02434085405844644,0.07931338350157441,-0.012105913544831634,0.0876080440072907,0.015314278647478967,1.0,0.14070329428662853,0.05254243048329588,0.05835458078125327,0.05880551624429515,0.09172999852586214,-0.007420296579390165,0.024109245278996997,0.02598029718239513,0.09419467354532765,0.04961608156706886,0.04526300212916131,0.012910972447027791,0.10738108042427436,0.12877125654235339,0.10913044338648095,0.05397567965757838,-0.016579250091575987,0.14550571962717007,0.12471870549664389,0.10387547542981575,0.016792383753607365,0.045400632836505375
EMAMILTD,0.022167239487981796,0.061606649651878974,0.08253559780633929,0.07802296795119915,0.00051394885932264,0.14070329428662853,1.0,0.06338863361604467,0.05932900259761684,0.017983068806237842,0.0791132711261057,-0.009377311237480859,0.03693435488901961,0.03854236963757887,0.049875973045897325,0.009657416156662832,0.045729459279877836,0.051833745680005275,0.12748661567030803,0.08272063341039967,0.12277267900730772,0.021744947739968015,-0.0259708508937339,0.11874630591886305,0.12290048041702686,0.10190011974609864,-0.00041818118440119765,0.0354434229997039
CREATIVE,0.07253640927602607,0.020590466424263522,0.03876986263529266,0.09555240627519301,0.0059235901951633415,0.05254243048329588,0.06338863361604467,1.0,0.13826840266507529,0.02501872138835645,0.0004091541445135416,0.029995862983951547,0.08496043026057247,0.04360993028144062,0.04116670156284435,0.07068341941676327,0.04750240522744683,-0.04499069051034193,0.002997233873775373,0.031907185445081365,0.05979121919121525,0.05751797494584756,-0.02304974163003093,0.019150036765376754,0.0153060477926223,0.0434184643537937,0.08701488177122668,0.01010986924380748
HCG,0.06884795194801278,0.0419038886392776,0.07894490982644572,0.06301111382883287,0.062015212680973424,0.05835458078125327,0.05932900259761684,0.13826840266507529,1.0,0.07766786510939146,0.036858226991863904,-0.004026219835860205,0.03483794953234778,0.06529959221472767,0.0746536948206194,0.050501057702632836,0.059483672994716665,0.02982185593584007,0.04685512245493987,0.019350543677439477,0.047836383138068136,0.046398061151355835,0.04459324035461487,0.025707864262718327,0.04555439792872845,0.11237571408221926,0.03850352534088402,0.024648165454047667
AUBANK,0.11824487546441532,0.07675948977876051,0.09530954112645443,0.02329245084172732,0.0560759343830785,0.05880551624429515,0.017983068806237842,0.02501872138835645,0.07766786510939146,1.0,0.0553932520868995,0.03649620682042248,0.044654838876260435,0.024166144391130278,0.13672686080857127,0.029412164624569526,0.07761167012072265,-0.009160395251273741,0.06632859581634802,-0.03218942390822825,0.03654376652290745,0.05104677150618332,0.023700938578518533,0.00477792883402813,0.08067341507245722,0.06224081971791294,0.13824230216909475,0.06351589066743889
