ticker,current_price,price_category,anticascading_rank,composite_score,profit_factor,sharpe_like_ratio,sector
ARTEMISMED,218.84,Under ₹500,12,82.96973633405355,1.1275843463252946,0.0362967104834716,Pharmaceuticals & Healthcare
EIHOTEL,399.05,Under ₹500,17,80.90100059119851,1.1160896802771998,0.0325453307147932,Hotels & Hospitality
VEDL,420.35,Under ₹500,41,76.23802868279871,1.0618187256564957,0.019080682041225,Metals & Mining
VBL,487.35,Under ₹500,36,76.55791637145292,1.077001201355646,0.0241362557429845,Consumer Goods & FMCG
AADHARHFC,504.45,Under ₹1000,38,76.52843416086895,1.0666192076248546,0.021829435035797,Banking & Financial Services
BERGEPAINT,532.85,Under ₹1000,39,76.29546487263393,1.0650909846395884,0.0205976455794319,Chemicals & Materials
EMAMILTD,574.45,Under ₹1000,31,77.39887141498829,1.0984014426703428,0.0291979819521875,Consumer Goods & FMCG
CREATIVE,628.55,Under ₹1000,20,80.53365618835946,1.1095500565551228,0.0308075452359472,Information Technology
HCG,674.7,Under ₹1000,2,89.35895637162753,1.2049319347585647,0.0597266978571001,Pharmaceuticals & Healthcare
AUBANK,717.3,Under ₹1000,43,75.49713837358894,1.071882136778232,0.0233968663222424,Banking & Financial Services
CCL,870.05,Under ₹1000,46,75.28300567173399,1.0671556737517855,0.0204608699931435,Chemicals & Materials
NEWGEN,880.7,Under ₹1000,15,82.00722493728551,1.1252341011618874,0.0350168255646429,Information Technology
FORTIS,913.3,Under ₹1000,13,82.86617236154332,1.0989163500380106,0.0303380685463496,Pharmaceuticals & Healthcare
INTELLECT,978.2,Under ₹1000,40,76.26425344204726,1.0637834693996109,0.0202733796259394,Information Technology
AXISBANK,1044.4,Under ₹2000,4,86.18488280799178,1.1400642104177896,0.0440745412973319,Banking & Financial Services
BHARATFORG,1104.7,Under ₹2000,49,74.79866350003854,1.0370765133324515,0.0110211106609023,Automotive & Auto Components
MAXHEALTH,1151.9,Under ₹2000,23,79.8783073789458,1.082639815714375,0.0267444592536762,Pharmaceuticals & Healthcare
KAJARIACER,1213.9,Under ₹2000,1,90.197605267632,1.1806872859685882,0.0551085837268704,Chemicals & Materials
WHIRLPOOL,1314.2,Under ₹2000,33,77.03748859808611,1.0882458554168248,0.0273334513842402,Consumer Goods & FMCG
HCLTECH,1452.6,Under ₹2000,34,76.95398866701849,1.0750087977933347,0.0249146490098748,Information Technology
INFY,1469.2,Under ₹2000,42,75.76759058997555,1.0556850096127206,0.0184036909735214,Information Technology
NH,1746.4,Under ₹2000,7,84.963141621576,1.1251241478268486,0.0383509890066392,Pharmaceuticals & Healthcare
BHARTIHEXA,1775.0,Under ₹2000,28,78.56999819576119,1.075071359539855,0.0235823092975262,Textiles
ICICIGI,1836.5,Under ₹2000,26,79.42259209627797,1.0816637998825285,0.0268164491462678,Insurance
UBL,1849.6,Under ₹2000,8,84.32568384622735,1.1207984150282169,0.0375044386533251,Banking & Financial Services
GLENMARK,1930.6,Under ₹2000,44,75.42075001971972,1.0564649355562414,0.0179859978007454,Pharmaceuticals & Healthcare
KIRLOSBROS,1946.3,Under ₹2000,10,83.79132439443785,1.1275287284177569,0.0375031186320168,Automotive & Auto Components
KOTAKBANK,1958.2,Under ₹2000,3,88.10605657850176,1.151221827073334,0.0470201863689147,Banking & Financial Services
