Trade Type,Entry Time,Entry Price,High During Trade,Low During Trade,High Time,Low Time,Exit Time,Exit Price,Profit (Currency),Profit (%),Trade Duration (min),PnL,Target (%),Drawdown (%),RRR,Recovery Time (min),ticker,strategy_generated,risk_processed
Buy,2022-01-03 09:35:00+05:30,272.5,273.7,272.35,2022-01-03 09:50:00+05:30,2022-01-03 10:05:00+05:30,2022-01-03 10:05:00+05:30,272.35,-0.1499999999999772,-0.0550458715596246,30.0,0.0,0.44,0.06,-1.0,0.0,ABFRL,True,False
Sell,2022-01-03 10:25:00+05:30,271.0,271.65,269.95,2022-01-03 10:40:00+05:30,2022-01-03 11:30:00+05:30,2022-01-03 11:35:00+05:30,270.65,0.3500000000000227,0.1291512915129235,70.0,0.0,0.39,0.24,0.54,55.0,ABFRL,True,False
Sell,2022-01-03 11:40:00+05:30,271.4,272.1,271.4,2022-01-03 11:45:00+05:30,2022-01-03 11:40:00+05:30,2022-01-03 11:50:00+05:30,271.95,-0.5500000000000114,-0.2026529108327234,10.0,0.0,0.0,0.26,-0.79,5.0,ABFRL,True,False
Buy,2022-01-03 12:05:00+05:30,271.55,273.0,271.55,2022-01-03 12:15:00+05:30,2022-01-03 12:05:00+05:30,2022-01-03 12:35:00+05:30,272.3,0.75,0.2761922297919352,30.0,0.0,0.53,0.0,,30.0,ABFRL,True,False
Buy,2022-01-03 12:40:00+05:30,271.85,271.9,271.8,2022-01-03 12:45:00+05:30,2022-01-03 12:50:00+05:30,2022-01-03 12:50:00+05:30,271.8,-0.0500000000000113,-0.0183924958616926,10.0,0.0,0.02,0.02,-1.0,0.0,ABFRL,True,False
Buy,2022-01-03 14:05:00+05:30,274.15,274.15,272.65,2022-01-03 14:05:00+05:30,2022-01-03 14:20:00+05:30,2022-01-03 14:20:00+05:30,272.65,-1.5,-0.5471457231442641,15.0,0.0,0.0,0.55,-1.0,0.0,ABFRL,True,False
Buy,2022-01-03 14:25:00+05:30,272.05,273.5,271.6,2022-01-03 14:45:00+05:30,2022-01-03 14:30:00+05:30,2022-01-03 14:50:00+05:30,273.25,1.1999999999999886,0.441095386877408,25.0,0.0,0.53,0.17,2.67,20.0,ABFRL,True,False
Buy,2022-01-03 14:55:00+05:30,272.4,274.0,272.4,2022-01-03 15:15:00+05:30,2022-01-03 14:55:00+05:30,2022-01-03 15:15:00+05:30,274.0,1.6000000000000227,0.5873715124816531,20.0,0.0,0.59,0.0,,20.0,ABFRL,True,False
Buy,2022-01-04 09:15:00+05:30,274.7,281.8,273.35,2022-01-04 10:50:00+05:30,2022-01-04 09:35:00+05:30,2022-01-04 11:35:00+05:30,280.8,6.100000000000023,2.2206042955952032,140.0,0.0,2.58,0.49,4.52,120.0,ABFRL,True,False
Buy,2022-01-04 12:05:00+05:30,284.55,284.55,283.15,2022-01-04 12:05:00+05:30,2022-01-04 12:30:00+05:30,2022-01-04 12:35:00+05:30,283.55,-1.0,-0.3514320857494289,30.0,0.0,0.0,0.49,-0.71,5.0,ABFRL,True,False
