ticker,sector,industry,description
ABFRL,Consumer Discretionary,Retail & Fashion,Aditya Birla Fashion and Retail
ADANIGREEN,Utilities,Renewable Energy,Adani Green Energy - Solar/Wind Power
AXISBANK,Financials,Private Bank,Axis Bank - Private Sector Banking
BRITANNIA,Consumer Staples,Food Products,Britannia Industries - Food & FMCG
CIPLA,Healthcare,Pharmaceuticals,Cipla - Pharmaceutical Manufacturing
DELHIVERY,Industrials,Logistics,Delhivery - Logistics & Supply Chain
EICHERMOT,Industrials,Auto Components,Eicher Motors - Royal Enfield Motorcycles
FEDERALBNK,Financials,Private Bank,Federal Bank - Private Sector Banking
GLAXO,Healthcare,Pharmaceuticals,GlaxoSmithKline Pharma
HERCULES,Materials,Chemicals,Hercules Hoists - Industrial Equipment
INFY,Information Technology,IT Services,Infosys - IT Services & Consulting
NDRAUTO,Industrials,Auto Components,Endurance Technologies (ex-NDA Auto)
NMDC,Materials,Metals & Mining,NMDC - Iron Ore Mining
POCL,Materials,Chemicals,Pondy Oxides & Chemicals
PSUBANK,Financials,PSU Bank ETF,PSU Bank Index Fund/ETF
RELIANCE,Energy,Oil & Gas,Reliance Industries - Oil/Gas/Retail
TCS,Information Technology,IT Services,Tata Consultancy Services
TECHM,Information Technology,IT Services,Tech Mahindra - IT Services
UBL,Financials,Private Bank,United Breweries (City Union Bank if banking)
VIMTALABS,Healthcare,Pharmaceuticals,Vimta Labs - Testing & Research
