threshold,total_trades,num_wins,num_losses,win_rate_pct,profit_factor,avg_win_pct,avg_loss_pct,total_return_pct,sharpe_ratio,avg_duration_minutes,losers_to_winners_count,winners_to_losers_count,net_outcome_improvement,trade_type
0.5,4076,2052,1860,50.343473994111875,2.1815777647588708,0.458317539939074,0.23177158558273586,509.37244277109096,3.553785611305022,57.25343473994112,49,24,25,Buy
0.55,4076,2055,1857,50.417075564278704,2.19116484276956,0.45816430636237343,0.23139081915898502,511.83489839644227,3.572143148604753,57.2338076545633,52,24,28,Buy
0.6,4076,2058,1854,50.49067713444554,2.2015659747177594,0.4575048407564382,0.23067452215991557,513.8743981922662,3.589086655457406,57.21540726202159,56,25,31,Buy
0.65,4076,2065,1847,50.66241413150148,2.2132715571910047,0.4564831420774886,0.23059145056079097,516.7352792042328,3.611403942198675,57.18473994111874,63,25,38,Buy
0.7,4076,2067,1843,50.71148184494603,2.241478925953914,0.456511077304207,0.2284187768251475,522.632591099049,3.660426256116598,57.141805691854756,66,26,40,Buy
0.75,4076,2073,1838,50.85868498527969,2.26015044284288,0.4553182798652536,0.22721214065771206,526.2588796317959,3.691492705276661,57.09028459273798,72,26,46,Buy
0.8,4076,2077,1832,50.95682041216879,2.3041587176831975,0.4556039500554563,0.22417445189338658,535.6018083964984,3.768000463935774,57.009322865554466,77,27,50,Buy
0.85,4076,2090,1817,51.27576054955839,2.350267211853223,0.453679823001525,0.222036095559397,544.751244441763,3.840889360709303,56.879293424926395,95,32,63,Buy
0.9,4076,2116,1789,51.913640824337584,2.4460298549035646,0.4518813824145952,0.21850834013952844,565.2695846796671,3.99986005483254,56.64622178606477,125,36,89,Buy
0.95,4076,2191,1715,53.75368007850834,2.648240911876936,0.44564894099480873,0.2149877138285795,607.712900503612,4.321609080196385,56.14573110893032,208,44,164,Buy
0.5,4110,2038,1839,49.586374695863746,2.1735735872442232,0.4519475993375657,0.23042849656520348,497.3112022665497,3.0131953599512413,51.442822384428226,54,51,3,Sell
0.55,4110,2041,1836,49.65936739659367,2.177620356782067,0.45145561928885447,0.23046406783558493,498.28889042241804,3.0193623784722265,51.43065693430657,57,51,6,Sell
0.6,4110,2046,1830,49.78102189781022,2.187780163066208,0.45042558534743754,0.23018335250129687,500.3352125434839,3.032767352277961,51.41727493917275,62,51,11,Sell
0.65,4110,2049,1827,49.85401459854015,2.2065817261281606,0.44989175260118874,0.2286606457254976,504.0652013393516,3.0598102835228453,51.386861313868614,65,51,14,Sell
0.7,4110,2054,1822,49.97566909975669,2.2314989112491372,0.4489554750379026,0.22680815173032817,508.9100932751941,3.093377329402809,51.346715328467155,70,51,19,Sell
0.75,4110,2061,1815,50.14598540145986,2.2540893810880402,0.44784373582236375,0.22560916245759932,513.5253096693491,3.123774098313447,51.2992700729927,78,52,26,Sell
0.8,4110,2074,1802,50.462287104622874,2.280690301760391,0.4458732622532608,0.22500858023038728,519.2756843381051,3.161515066844191,51.22627737226277,92,53,39,Sell
0.85,4110,2089,1789,50.8272506082725,2.3521174281487855,0.4442843345499518,0.22056169968751904,533.5250941338776,3.25758959282452,51.079075425790755,112,58,54,Sell
0.9,4110,2123,1753,51.654501216545015,2.454785844467738,0.4405367732412908,0.21733848442342055,554.2652063970041,3.3962954990931213,50.852798053527984,149,61,88,Sell
0.95,4110,2171,1701,52.82238442822384,2.683824123957082,0.439433666317941,0.20897521657683069,598.543646179061,3.6821764464493807,50.35644768856448,213,77,136,Sell
