Ticker,Interval,Date,Volume_Mean_Pct,Volume_Std_Pct,Records
BIOCON,5min,2025-09-01,0.0,0.0,40.0
BIOCON,5min,2025-09-02,14.67,14.39,75.0
BIOCON,5min,2025-09-03,11.02,15.95,75.0
BIOCON,5min,2025-09-04,15.11,15.03,71.0
BIOCON,5min,2025-09-11,0.0,0.0,40.0
BIOCON,5min,2025-09-12,4.47,14.83,72.0
BIOCON,15min,2025-08-29,0.0,0.0,15.0
BIOCON,15min,2025-09-01,0.0,0.0,25.0
BIOCON,15min,2025-09-02,0.36,1.0,25.0
BIOCON,15min,2025-09-03,3.07,7.82,25.0
BIOCON,15min,2025-09-04,0.95,1.65,23.0
BIOCON,15min,2025-09-10,0.0,0.0,15.0
BIOCON,15min,2025-09-11,0.0,0.0,25.0
BIOCON,15min,2025-09-12,7.88,25.8,24.0
JSWSTEEL,5min,2025-09-01,0.0,0.0,40.0
JSWSTEEL,5min,2025-09-02,14.34,15.72,75.0
JSWSTEEL,5min,2025-09-03,9.94,14.47,75.0
JSWSTEEL,5min,2025-09-04,15.81,11.04,71.0
JSWSTEEL,5min,2025-09-11,0.0,0.0,40.0
JSWSTEEL,5min,2025-09-12,1.21,4.82,68.0
JSWSTEEL,15min,2025-08-29,0.0,0.0,15.0
JSWSTEEL,15min,2025-09-01,0.0,0.0,25.0
JSWSTEEL,15min,2025-09-02,4.46,6.29,25.0
JSWSTEEL,15min,2025-09-03,4.24,4.89,25.0
JSWSTEEL,15min,2025-09-04,2.57,2.52,23.0
JSWSTEEL,15min,2025-09-10,0.0,0.0,15.0
JSWSTEEL,15min,2025-09-11,0.0,0.0,25.0
JSWSTEEL,15min,2025-09-12,8.85,27.2,21.0
KOTAKBANK,5min,2025-08-25,0.0,0.0,40.0
KOTAKBANK,5min,2025-08-26,16.71,9.76,75.0
KOTAKBANK,5min,2025-08-28,16.91,10.94,75.0
KOTAKBANK,5min,2025-08-29,20.3,14.03,71.0
KOTAKBANK,5min,2025-09-01,0.0,0.0,40.0
KOTAKBANK,5min,2025-09-02,13.1,13.84,75.0
KOTAKBANK,5min,2025-09-03,8.04,10.66,75.0
KOTAKBANK,5min,2025-09-04,13.99,10.37,71.0
KOTAKBANK,5min,2025-09-11,0.0,0.0,40.0
KOTAKBANK,5min,2025-09-12,1.62,9.73,68.0
KOTAKBANK,15min,2025-08-22,0.0,0.0,15.0
KOTAKBANK,15min,2025-08-25,0.0,0.0,25.0
KOTAKBANK,15min,2025-08-26,4.08,3.87,25.0
KOTAKBANK,15min,2025-08-28,5.33,3.8,25.0
KOTAKBANK,15min,2025-08-29,7.67,8.44,25.0
KOTAKBANK,15min,2025-09-01,0.0,0.0,25.0
KOTAKBANK,15min,2025-09-02,5.94,9.36,25.0
KOTAKBANK,15min,2025-09-03,2.42,2.91,25.0
KOTAKBANK,15min,2025-09-04,2.95,3.02,23.0
KOTAKBANK,15min,2025-09-10,0.0,0.0,15.0
KOTAKBANK,15min,2025-09-11,0.0,0.0,25.0
KOTAKBANK,15min,2025-09-12,9.41,28.46,21.0
