Ticker,Sector,Pattern,Volatility,Beta,Momentum_252d,Trend_Strength,Price,Years_Available,Selection_Score
NAVNETEDUL,Others,Range-Bound,0.3747658318353287,0.0235756771762928,-5.445267284834154,-0.0064732302863069,151.94,22.0,1037.135569422388
UBL,Others,Range-Bound,0.394782462361091,0.0053535436167265,-8.369761181497125,-0.0096580510674418,1855.1,17.0,1015.3872208034593
FEDERALBNK,Financial Services,Range-Bound,0.4733245624234851,0.1568593656172527,-3.557827219883747,0.0213154575966933,192.46,25.0,783.6251464528574
PSUBANK,Financial Services,Range-Bound,0.3692518661324614,0.3704517539035502,-2.136118790435204,0.0166365734321051,686.75,18.0,724.6888115776069
TECHM,Information Technology,Range-Bound,0.3710641264521331,0.0553439674178474,-6.018518518518523,-0.0453482137814657,1502.2,19.0,667.5071815375081
NMDC,Metals & Mining,Range-Bound,0.4847709372576883,-0.0112493271409821,-6.309650053022253,-0.0353702021837447,70.68,17.0,664.7113956279543
DELHIVERY,Others,Volatile/High-Beta,2.5609699853971604,-0.1489545546037883,13.212250712250718,-0.0004279781739971,476.85,9.0,264.1656351778297
POCL,Others,Volatile/High-Beta,2.496485910042308,-0.136750459436382,29.716690042075733,-0.0365710535259782,1156.1,9.0,257.3511047873223
SUMMITSEC,Information Technology,Volatile/High-Beta,0.8392350599979433,0.2681301896915925,7.469813139892589,-0.1859883052840891,2340.8,22.0,100.7674116905421
JSL,Metals & Mining,Volatile/High-Beta,0.5880756163950974,0.4173535158058745,8.819102353585118,-0.0395891674286638,795.25,22.0,80.12816711368598
AXISBANK,Financial Services,Volatile/High-Beta,0.411096927210684,1.0001790830945532,-9.936103606501144,-0.0129618846344206,1050.1,22.0,79.915065213905
ITI,Information Technology,Volatile/High-Beta,0.5911041376228838,0.3872041208502039,-3.96732788798132,0.0204871449604923,288.05,22.0,79.52653738779449
HERCULES,Others,Declining/Degrading,0.5784364878414715,0.3821714928758474,-73.74033240085569,-0.5214859209986786,159.58,17.0,74.95932146034856
ABFRL,Others,Declining/Degrading,0.5134169235844305,1.0,-74.15962441314554,-0.5097610226622864,82.56,12.0,72.46547356630994
PSB,Financial Services,Declining/Degrading,0.4125093991652122,0.3773265439072812,-53.31898692269492,-0.3183476712806931,28.2,15.0,51.76035373818904
ADANIGREEN,Utilities,Declining/Degrading,0.5524531355134867,1.0,-51.0100478720606,-0.322587315889197,931.25,7.0,47.66026288938212
63MOONS,Others,Growth,0.6107968275130987,1.0,175.74543836226078,0.3099913621397816,929.4,18.0,99.69765707329121
VIMTALABS,Others,Growth,0.5790822559341146,-0.0267340047109887,146.51428571428573,0.2652442321596026,647.1,20.0,86.52036821529046
LAURUSLABS,Healthcare,Growth,0.3504177186926644,0.2275517284247343,94.67727476467952,0.2369007298956285,868.65,9.0,57.48495369960952
NDRAUTO,Automotive,Growth,0.5741236231272197,0.0914497876153916,51.5635596413232,0.1216287494360958,1005.7,5.0,30.92314882269503
DIVISLAB,Healthcare,Growth,0.3643118708147903,0.2415628833799242,27.48277885892565,0.0751040568986523,6190.5,22.0,28.699354957489398
EICHERMOT,Automotive,Growth,0.380633916108138,0.2712955831306878,25.579306261611645,0.0811563205441515,6151.0,22.0,28.30110173729375
RELIANCE,Oil Gas & Consumable Fuels,Defensive,0.3262489136552172,-0.0187435314134856,-5.707229156932114,0.0152442906456613,1412.6,25.0,78.19386875569337
BRITANNIA,Information Technology,Defensive,0.2565374670300489,0.0124501415969608,-4.905084978070173,-0.0088080960250044,5550.5,22.0,77.88249853544461
GLAXO,Others,Defensive,0.2639631711742142,0.0065359356638848,-3.8681235741118702,0.0924645397285451,2802.1,22.0,77.82269754155745
CIPLA,Healthcare,Defensive,0.2917100349247341,0.0057432527416224,0.9711186782696446,-0.0240398484688917,1601.2,22.0,77.27965051038099
M&M,Automotive,Growth,0.3514732440041133,0.327929801067769,20.72490032620515,0.0385976670037591,3330.8,22.0,105.18800521777929
TVSMOTOR,Automotive,Growth,0.4183206705159326,0.3408993495329575,18.261655222262373,0.048608018014651,3272.3,22.0,103.11208315636007
GLENMARK,Healthcare,Growth,0.4269661479269781,0.0124453911428312,16.660205755181146,0.0499766271627798,1956.1,22.0,102.45873876801477
JUBLPHARMA,Healthcare,Range-Bound,0.4275601103652928,0.212336896389554,14.955332524539532,-0.0053127693955565,1042.3,22.0,101.935397550056
