,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,258770438,1010822,EURINR24APRFUT,EURINR,0.0,2024-04-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
1,262676230,1026079,EURINR24AUGFUT,EURINR,0.0,2024-08-28,0.0,0.0025,1,FUT,BCD-FUT,BCD
2,268449030,1048629,EURINR24DECFUT,EURINR,0.0,2024-12-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
3,256445190,1001739,EURINR24FEBFUT,EURINR,0.0,2024-02-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
4,261799430,1022654,EURINR24JULFUT,EURINR,0.0,2024-07-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
5,260801030,1018754,EURINR24JUNFUT,EURINR,0.0,2024-06-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
6,257900806,1007425,EURINR24MARFUT,EURINR,0.0,2024-03-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
7,259909382,1015271,EURINR24MAYFUT,EURINR,0.0,2024-05-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
8,265969926,1038945,EURINR24NOVFUT,EURINR,0.0,2024-11-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
9,264741126,1034145,EURINR24OCTFUT,EURINR,0.0,2024-10-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
10,263556614,1029518,EURINR24SEPFUT,EURINR,0.0,2024-09-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
11,269248262,1051751,EURINR25JANFUT,EURINR,0.0,2025-01-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
12,258770182,1010821,GBPINR24APRFUT,GBPINR,0.0,2024-04-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
13,262675974,1026078,GBPINR24AUGFUT,GBPINR,0.0,2024-08-28,0.0,0.0025,1,FUT,BCD-FUT,BCD
14,268448774,1048628,GBPINR24DECFUT,GBPINR,0.0,2024-12-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
15,256444934,1001738,GBPINR24FEBFUT,GBPINR,0.0,2024-02-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
16,261799174,1022653,GBPINR24JULFUT,GBPINR,0.0,2024-07-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
17,260800774,1018753,GBPINR24JUNFUT,GBPINR,0.0,2024-06-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
18,257900550,1007424,GBPINR24MARFUT,GBPINR,0.0,2024-03-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
19,259909126,1015270,GBPINR24MAYFUT,GBPINR,0.0,2024-05-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
20,265969670,1038944,GBPINR24NOVFUT,GBPINR,0.0,2024-11-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
21,264740870,1034144,GBPINR24OCTFUT,GBPINR,0.0,2024-10-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
22,263556358,1029517,GBPINR24SEPFUT,GBPINR,0.0,2024-09-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
23,269248006,1051750,GBPINR25JANFUT,GBPINR,0.0,2025-01-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
24,258770694,1010823,JPYINR24APRFUT,JPYINR,0.0,2024-04-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
25,262676486,1026080,JPYINR24AUGFUT,JPYINR,0.0,2024-08-28,0.0,0.0025,1,FUT,BCD-FUT,BCD
26,268449286,1048630,JPYINR24DECFUT,JPYINR,0.0,2024-12-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
27,256445446,1001740,JPYINR24FEBFUT,JPYINR,0.0,2024-02-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
28,261799686,1022655,JPYINR24JULFUT,JPYINR,0.0,2024-07-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
29,260801286,1018755,JPYINR24JUNFUT,JPYINR,0.0,2024-06-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
30,257901062,1007426,JPYINR24MARFUT,JPYINR,0.0,2024-03-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
31,259909638,1015272,JPYINR24MAYFUT,JPYINR,0.0,2024-05-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
32,265970182,1038946,JPYINR24NOVFUT,JPYINR,0.0,2024-11-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
33,264741382,1034146,JPYINR24OCTFUT,JPYINR,0.0,2024-10-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
34,263556870,1029519,JPYINR24SEPFUT,JPYINR,0.0,2024-09-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
35,269248518,1051752,JPYINR25JANFUT,JPYINR,0.0,2025-01-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
36,265966342,1038931,USDINR24209FUT,USDINR,0.0,2024-02-09,0.0,0.0025,1,FUT,BCD-FUT,BCD
37,266381830,1040554,USDINR24216FUT,USDINR,0.0,2024-02-16,0.0,0.0025,1,FUT,BCD-FUT,BCD
38,267271430,1044029,USDINR24223FUT,USDINR,0.0,2024-02-23,0.0,0.0025,1,FUT,BCD-FUT,BCD
39,268093190,1047239,USDINR24301FUT,USDINR,0.0,2024-03-01,0.0,0.0025,1,FUT,BCD-FUT,BCD
40,268321286,1048130,USDINR24307FUT,USDINR,0.0,2024-03-07,0.0,0.0025,1,FUT,BCD-FUT,BCD
41,268554246,1049040,USDINR24315FUT,USDINR,0.0,2024-03-15,0.0,0.0025,1,FUT,BCD-FUT,BCD
42,268784390,1049939,USDINR24322FUT,USDINR,0.0,2024-03-22,0.0,0.0025,1,FUT,BCD-FUT,BCD
43,268922118,1050477,USDINR24328FUT,USDINR,0.0,2024-03-28,0.0,0.0025,1,FUT,BCD-FUT,BCD
44,269107206,1051200,USDINR24405FUT,USDINR,0.0,2024-04-05,0.0,0.0025,1,FUT,BCD-FUT,BCD
45,550620422,2150861,USDINR24412FUT,USDINR,0.0,2024-04-12,0.0,0.0025,1,FUT,BCD-FUT,BCD
46,269548294,1052923,USDINR24419FUT,USDINR,0.0,2024-04-19,0.0,0.0025,1,FUT,BCD-FUT,BCD
47,258769926,1010820,USDINR24APRFUT,USDINR,0.0,2024-04-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
48,262675718,1026077,USDINR24AUGFUT,USDINR,0.0,2024-08-28,0.0,0.0025,1,FUT,BCD-FUT,BCD
49,268448518,1048627,USDINR24DECFUT,USDINR,0.0,2024-12-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
50,256444678,1001737,USDINR24FEBFUT,USDINR,0.0,2024-02-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
51,261798918,1022652,USDINR24JULFUT,USDINR,0.0,2024-07-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
52,260800518,1018752,USDINR24JUNFUT,USDINR,0.0,2024-06-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
53,257900294,1007423,USDINR24MARFUT,USDINR,0.0,2024-03-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
54,259908870,1015269,USDINR24MAYFUT,USDINR,0.0,2024-05-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
55,265969158,1038942,USDINR24NOVFUT,USDINR,0.0,2024-11-27,0.0,0.0025,1,FUT,BCD-FUT,BCD
56,264740614,1034143,USDINR24OCTFUT,USDINR,0.0,2024-10-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
57,263556102,1029516,USDINR24SEPFUT,USDINR,0.0,2024-09-26,0.0,0.0025,1,FUT,BCD-FUT,BCD
58,269247750,1051749,USDINR25JANFUT,USDINR,0.0,2025-01-29,0.0,0.0025,1,FUT,BCD-FUT,BCD
59,550834950,2151699,EURINR24APR85.5CE,EURINR,0.0,2024-04-26,85.5,0.0025,1,CE,BCD-OPT,BCD
60,550831110,2151684,EURINR24APR85.5PE,EURINR,0.0,2024-04-26,85.5,0.0025,1,PE,BCD-OPT,BCD
61,550717958,2151242,EURINR24APR85.75CE,EURINR,0.0,2024-04-26,85.75,0.0025,1,CE,BCD-OPT,BCD
62,550714374,2151228,EURINR24APR85.75PE,EURINR,0.0,2024-04-26,85.75,0.0025,1,PE,BCD-OPT,BCD
63,550863366,2151810,EURINR24APR86.25CE,EURINR,0.0,2024-04-26,86.25,0.0025,1,CE,BCD-OPT,BCD
64,550860038,2151797,EURINR24APR86.25PE,EURINR,0.0,2024-04-26,86.25,0.0025,1,PE,BCD-OPT,BCD
65,550974726,2152245,EURINR24APR86.5CE,EURINR,0.0,2024-04-26,86.5,0.0025,1,CE,BCD-OPT,BCD
66,550970630,2152229,EURINR24APR86.5PE,EURINR,0.0,2024-04-26,86.5,0.0025,1,PE,BCD-OPT,BCD
