instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_INDEX|Nifty 50,17,Nifty 50,Nifty 50,24194.5,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty 50,17,NIFTY,Nifty 50,24194.5,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY100 EQL Wgt,,NIFTY100 EQL Wgt,NIFTY100 EQL Wgt,31638.8,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY50 EQL Wgt,,NIFTY50 EQL Wgt,NIFTY50 EQL Wgt,29989.95,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NiftyM150Momntm50,,NiftyM150Momntm50,NiftyM150Momntm50,63102.85,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Auto,48,Nifty Auto,Nifty Auto,23413,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Commodities,5,Nifty Commodities,Nifty Commodities,8333.25,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Mid Liq 15,31,Nifty Mid Liq 15,Nifty Mid Liq 15,14095.55,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 10Yr Cln,24,Nifty GS 10Yr Cln,Nifty GS 10Yr Cln,885.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY TOTAL MKT,,NIFTY TOTAL MKT,NIFTY TOTAL MKT,12721,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Serv Sector,30,Nifty Serv Sector,Nifty Serv Sector,32065.25,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty100 Liq 15,21,Nifty100 Liq 15,Nifty100 Liq 15,6324.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Bank,28,Nifty Bank,Nifty Bank,52191.5,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Bank,28,BANKNIFTY,Nifty Bank,52191.5,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Next 50,20,Nifty Next 50,Nifty Next 50,69522.25,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY AlphaLowVol,,NIFTY AlphaLowVol,NIFTY AlphaLowVol,27702.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Energy,11,Nifty Energy,Nifty Energy,36722.2,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Div Opps 50,25,Nifty Div Opps 50,Nifty Div Opps 50,6498.8,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY SMLCAP 50,,NIFTY SMLCAP 50,NIFTY SMLCAP 50,8807.55,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty PSE,16,Nifty PSE,Nifty PSE,10025.45,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY M150 QLTY50,,NIFTY M150 QLTY50,NIFTY M150 QLTY50,24336.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY100 LowVol30,,NIFTY100 LowVol30,NIFTY100 LowVol30,19429,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty200Momentm30,,Nifty200Momentm30,Nifty200Momentm30,33748.45,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty100ESGSecLdr,,Nifty100ESGSecLdr,Nifty100ESGSecLdr,4010.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 10Yr,12,Nifty GS 10Yr,Nifty GS 10Yr,2418.67,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY Alpha 50,,NIFTY Alpha 50,NIFTY Alpha 50,54834.95,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty 500,7,Nifty 500,Nifty 500,22562.45,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Realty,18,Nifty Realty,Nifty Realty,1029.15,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY INDIA MFG,,NIFTY INDIA MFG,NIFTY INDIA MFG,13973.1,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY200 QUALTY30,,NIFTY200 QUALTY30,NIFTY200 QUALTY30,21385,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GrowSect 15,35,Nifty GrowSect 15,Nifty GrowSect 15,12021.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY100 ESG,,NIFTY100 ESG,NIFTY100 ESG,4779.95,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 8 13Yr,45,Nifty GS 8 13Yr,Nifty GS 8 13Yr,2736.48,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Infra,36,Nifty Infra,Nifty Infra,8663.25,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY SMLCAP 250,,NIFTY SMLCAP 250,NIFTY SMLCAP 250,17375.55,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 PR 1x Inv,6,Nifty50 PR 1x Inv,Nifty50 PR 1x Inv,205.85,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MIDCAP 100,,NIFTY MIDCAP 100,NIFTY MIDCAP 100,55914.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty FinSrv25 50,,Nifty FinSrv25 50,Nifty FinSrv25 50,25848.5,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY CONSR DURBL,,NIFTY CONSR DURBL,NIFTY CONSR DURBL,40239.5,,,,,INDEX,,NSE_INDEX
NSE_INDEX|India VIX,43,India VIX,India VIX,15.3,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Pharma,47,Nifty Pharma,Nifty Pharma,21961.75,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MIDCAP 150,,NIFTY MIDCAP 150,NIFTY MIDCAP 150,20735.1,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 TR 1x Inv,14,Nifty50 TR 1x Inv,Nifty50 TR 1x Inv,170.55,,,,,INDEX,,NSE_INDEX
