Trade Type,Entry Time,Entry Price,High During Trade,Low During Trade,High Time,Low Time,Exit Time,Exit Price,Profit (Currency),Profit (%),Trade Duration (min),PnL,Target (%),Drawdown (%),RRR,Recovery Time (min),ticker,strategy_generated,risk_processed
Sell,2025-04-23 09:35:00+05:30,55594.0,55708.25,55184.45,2025-04-23 09:45:00+05:30,2025-04-23 10:50:00+05:30,2025-04-23 11:20:00+05:30,55217.85,376.1500000000015,0.6766017915602429,105.0,0.0,0.74,0.21,3.29,95.0,BANKNIFTY,True,False
Buy,2025-04-23 09:35:00+05:30,3381.7,3393.0,3381.7,2025-04-23 09:40:00+05:30,2025-04-23 09:35:00+05:30,2025-04-23 10:05:00+05:30,3384.1,2.400000000000091,0.0709702220776559,30.0,0.0,0.33,0.0,,30.0,TCS,True,False
Buy,2025-04-23 09:35:00+05:30,1466.6,1473.0,1466.6,2025-04-23 09:40:00+05:30,2025-04-23 09:35:00+05:30,2025-04-23 09:50:00+05:30,1468.6,2.0,0.1363698349924996,15.0,0.0,0.44,0.0,,15.0,INFY,True,False
Buy,2025-04-23 09:40:00+05:30,1296.3,1303.9,1296.3,2025-04-23 09:50:00+05:30,2025-04-23 09:40:00+05:30,2025-04-23 10:05:00+05:30,1297.59,1.2899999999999636,0.0995140013885646,25.0,0.0,0.59,0.0,,25.0,RELIANCE,True,False
Buy,2025-04-23 09:55:00+05:30,1470.6,1470.6,1465.1,2025-04-23 09:55:00+05:30,2025-04-23 10:05:00+05:30,2025-04-23 10:05:00+05:30,1465.1,-5.5,-0.3739970080239358,10.0,0.0,0.0,0.37,-1.0,0.0,INFY,True,False
Sell,2025-04-23 10:05:00+05:30,24237.05,24237.05,24129.55,2025-04-23 10:05:00+05:30,2025-04-23 10:50:00+05:30,2025-04-23 11:05:00+05:30,24189.9,47.14999999999782,0.1945368763937765,60.0,0.0,0.44,0.0,,60.0,NIFTY,True,False
Sell,2025-04-23 10:15:00+05:30,1468.6,1469.2,1468.6,2025-04-23 10:20:00+05:30,2025-04-23 10:15:00+05:30,2025-04-23 10:20:00+05:30,1469.2,-0.6000000000001364,-0.0408552362794591,5.0,0.0,0.0,0.04,-1.0,0.0,INFY,True,False
Sell,2025-04-23 10:20:00+05:30,1292.8,1293.9,1286.2,2025-04-23 10:25:00+05:30,2025-04-23 10:50:00+05:30,2025-04-23 11:20:00+05:30,1290.7,2.099999999999909,0.1624381188118741,60.0,0.0,0.51,0.09,1.91,55.0,RELIANCE,True,False
Sell,2025-04-23 10:25:00+05:30,1471.5,1472.1,1469.7,2025-04-23 10:35:00+05:30,2025-04-23 10:30:00+05:30,2025-04-23 10:35:00+05:30,1472.1,-0.599999999999909,-0.040774719673796,10.0,0.0,0.12,0.04,-1.0,0.0,INFY,True,False
Buy,2025-04-23 10:40:00+05:30,1473.2,1486.6,1470.0,2025-04-23 11:40:00+05:30,2025-04-23 10:50:00+05:30,2025-04-23 11:50:00+05:30,1481.8,8.599999999999909,0.583763236491984,70.0,0.0,0.91,0.22,2.69,60.0,INFY,True,False
Sell,2025-04-23 10:45:00+05:30,3374.6,3388.5,3374.6,2025-04-23 11:05:00+05:30,2025-04-23 10:45:00+05:30,2025-04-23 11:05:00+05:30,3388.5,-13.900000000000093,-0.4119006697090052,20.0,0.0,0.0,0.41,-1.0,0.0,TCS,True,False
Sell,2025-04-23 11:10:00+05:30,24191.7,24214.65,24180.0,2025-04-23 11:15:00+05:30,2025-04-23 11:20:00+05:30,2025-04-23 11:20:00+05:30,24180.0,11.700000000000728,0.0483636949862999,10.0,0.0,0.05,0.09,0.51,5.0,NIFTY,True,False
Buy,2025-04-23 11:10:00+05:30,3397.8,3419.7,3390.0,2025-04-23 12:30:00+05:30,2025-04-23 11:20:00+05:30,2025-04-23 12:50:00+05:30,3406.2,8.399999999999636,0.247218788627925,100.0,0.0,0.64,0.23,1.08,90.0,TCS,True,False
Buy,2025-04-23 11:55:00+05:30,1480.2,1481.0,1479.0,2025-04-23 12:00:00+05:30,2025-04-23 12:05:00+05:30,2025-04-23 12:05:00+05:30,1479.0,-1.2000000000000457,-0.0810701256586978,10.0,0.0,0.05,0.08,-1.0,0.0,INFY,True,False
Buy,2025-04-23 12:20:00+05:30,1295.7,1300.0,1294.2,2025-04-23 14:20:00+05:30,2025-04-23 12:35:00+05:30,2025-04-23 14:35:00+05:30,1299.09,3.3899999999998727,0.2616346376475937,135.0,0.0,0.33,0.12,2.26,120.0,RELIANCE,True,False
Sell,2025-04-23 12:30:00+05:30,55242.8,55242.8,55217.7,2025-04-23 12:30:00+05:30,2025-04-23 12:35:00+05:30,2025-04-23 12:35:00+05:30,55217.7,25.10000000000582,0.045435785296918,5.0,0.0,0.05,0.0,,5.0,BANKNIFTY,True,False
Buy,2025-04-23 13:05:00+05:30,24255.45,24334.85,24240.55,2025-04-23 15:05:00+05:30,2025-04-23 13:15:00+05:30,2025-04-23 15:15:00+05:30,24329.8,74.34999999999854,0.3065290481108309,130.0,0.0,0.33,0.06,4.99,120.0,NIFTY,True,False
Buy,2025-04-23 13:50:00+05:30,55402.9,55433.15,55394.35,2025-04-23 14:00:00+05:30,2025-04-23 14:30:00+05:30,2025-04-23 14:35:00+05:30,55412.4,9.5,0.017147116847674,45.0,0.0,0.05,0.02,1.11,5.0,BANKNIFTY,True,False
Buy,2025-04-23 14:15:00+05:30,3415.0,3418.2,3409.1,2025-04-23 14:55:00+05:30,2025-04-23 15:05:00+05:30,2025-04-23 15:05:00+05:30,3409.1,-5.900000000000091,-0.1727672035139119,50.0,0.0,0.09,0.17,-1.0,0.0,TCS,True,False
Sell,2025-04-23 14:35:00+05:30,1473.9,1476.2,1472.9,2025-04-23 15:00:00+05:30,2025-04-23 15:15:00+05:30,2025-04-23 15:15:00+05:30,1472.9,1.0,0.0678472080873872,40.0,0.0,0.07,0.16,0.43,15.0,INFY,True,False
Buy,2025-04-23 14:40:00+05:30,55368.65,55407.8,55368.65,2025-04-23 14:50:00+05:30,2025-04-23 14:40:00+05:30,2025-04-23 15:15:00+05:30,55372.15,3.5,0.006321266637348,35.0,0.0,0.07,0.0,,35.0,BANKNIFTY,True,False
Sell,2025-04-24 09:20:00+05:30,1472.8,1473.9,1465.9,2025-04-24 09:30:00+05:30,2025-04-24 09:25:00+05:30,2025-04-24 10:20:00+05:30,1469.8,3.0,0.2036936447582835,60.0,0.0,0.47,0.07,2.73,50.0,INFY,True,False
