symbol,exchange,currency,listing_status,first_trade_date,long_name,short_name,sector,industry,instrument_type,lot_size,tick_size,market_state,trading_session,exchange_timezone,market_cap,enterprise_value,shares_outstanding,book_value,beta,trailing_pe,forward_pe,price_to_book,dividend_yield,profit_margins,regular_market_price,regular_market_previous_close,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_volume,regular_market_change_percent,fifty_two_week_high,fifty_two_week_low,is_fno_eligible,is_etf,is_psu,has_options_chain,data_quality_score,source_timestamp
011NSETEST.NS,NSE,INR,active,,,,,,EQUITY,,,REGULAR,Free Realtime Quote,Asia/Kolkata,,,,,,,,,,,200.0,200.0,200.0,201.0,200.0,312.0,0.0,201.0,200.0,,False,,,0.474,2025-10-09T03:00:25Z
021NSETEST.NS,NSE,INR,active,,,,,,EQUITY,,,REGULAR,Free Realtime Quote,Asia/Kolkata,,,,,,,,,,,200.0,200.0,200.0,201.0,200.0,312.0,0.0,201.0,200.0,,False,,,0.474,2025-10-09T03:00:26Z
031NSETEST.NS,NSE,INR,active,,,,,,EQUITY,,,REGULAR,Free Realtime Quote,Asia/Kolkata,,,,,,,,,,,200.0,200.0,200.0,201.0,200.0,312.0,0.0,201.0,200.0,,False,,,0.474,2025-10-09T03:00:27Z
041NSETEST.NS,NSE,INR,active,,,,,,EQUITY,,,REGULAR,Free Realtime Quote,Asia/Kolkata,,,,,,,,,,,200.0,200.0,200.0,201.0,200.0,312.0,0.0,201.0,200.0,,False,,,0.474,2025-10-09T03:00:28Z
051NSETEST.NS,NSE,INR,active,,,,,,EQUITY,,,REGULAR,Free Realtime Quote,Asia/Kolkata,,,,,,,,,,,200.0,200.0,200.0,201.0,200.0,312.0,0.0,201.0,200.0,,False,,,0.474,2025-10-09T03:00:29Z
061NSETEST.NS,NSE,INR,active,,,,,,EQUITY,,,REGULAR,Free Realtime Quote,Asia/Kolkata,,,,,,,,,,,200.0,200.0,200.0,201.0,200.0,312.0,0.0,201.0,200.0,,False,,,0.474,2025-10-09T03:00:30Z
071NSETEST.NS,NSE,INR,active,,,,,,EQUITY,,,REGULAR,Free Realtime Quote,Asia/Kolkata,,,,,,,,,,,200.0,200.0,200.0,201.0,200.0,312.0,0.0,201.0,200.0,,False,,,0.474,2025-10-09T03:00:31Z
081NSETEST.NS,NSE,INR,active,,,,,,EQUITY,,,REGULAR,Free Realtime Quote,Asia/Kolkata,,,,,,,,,,,200.0,200.0,200.0,201.0,200.0,312.0,0.0,201.0,200.0,,False,,,0.474,2025-10-09T03:00:32Z
08AGG.BO,BSE,INR,active,,,Nippon India Mutual Fund,,,EQUITY,,,REGULAR,Free Realtime Quote,Asia/Kolkata,,,,,,,,,,0.0,56.7,51.95,57.0,57.0,56.7,56.0,9.143407,57.0,56.7,,False,,,0.526,2025-10-09T04:22:18Z
08GPG.BO,BSE,INR,active,,,Nippon India Mutual Fund,,,EQUITY,,,REGULAR,Free Realtime Quote,Asia/Kolkata,,,,,,,,,,0.0,3.9,3.68,3.8,4.04,3.8,19132.0,5.774279,4.04,3.8,,False,,,0.526,2025-10-09T04:42:59Z
