trade_id,ticker,option_symbol,expiry,strike,option_type,lots,quantity,entry_time,exit_time,entry_price,exit_price,pricing_mode_entry,pricing_mode_exit,realized_pnl,return_pct,max_drawdown_pct,risk_flags,pricing_fallbacks
BANKNIFTY_2025-04-01T09:15:00+05:30_phase4_full_backtest,BANKNIFTY,BANKNIFTY25042451500CE,2025-04-24T15:30:00+05:30,51500.0,CE,1,30,2025-04-01T09:15:00+05:30,2025-04-04T09:15:00+05:30,755.325,845.55,actual,actual,2706.7499999999973,11.945189156985393,-9.313871512262933,,
INFY_2025-04-01T09:15:00+05:30_phase4_full_backtest,INFY,INFY25042401540PE,2025-04-24T15:30:00+05:30,1540.0,PE,1,400,2025-04-01T09:15:00+05:30,2025-04-04T09:15:00+05:30,49.1,92.925,actual,actual,17530.0,89.25661914460285,-15.020366598778004,,
NIFTY_2025-04-01T09:15:00+05:30_phase4_full_backtest,NIFTY,NIFTY25040923350PE,2025-04-09T15:30:00+05:30,23350.0,PE,1,75,2025-04-01T09:15:00+05:30,2025-04-04T09:15:00+05:30,185.45,379.5,actual,actual,14553.75,104.63736856295498,0.0,,
RELIANCE_2025-04-01T09:15:00+05:30_phase4_full_backtest,RELIANCE,RELIANCE25042401270CE,2025-04-24T15:30:00+05:30,1270.0,CE,1,500,2025-04-01T09:15:00+05:30,2025-04-04T09:15:00+05:30,28.245,10.345,actual,actual,-8950.0,-63.37404850416003,-63.37404850416003,,
TCS_2025-04-01T10:30:00+05:30_phase4_full_backtest,TCS,TCS25042403520CE,2025-04-24T15:30:00+05:30,3520.0,CE,1,175,2025-04-01T10:30:00+05:30,2025-04-03T13:30:00+05:30,115.30000000000001,63.15,actual,actual,-9126.250000000002,-45.229835212489164,-45.229835212489164,,
BANKNIFTY_2025-04-01T14:15:00+05:30_phase4_full_backtest,BANKNIFTY,BANKNIFTY25042450800CE,2025-04-24T15:30:00+05:30,50800.0,CE,1,30,2025-04-01T14:15:00+05:30,2025-04-04T14:15:00+05:30,1163.125,1297.625,actual,actual,4035.0,11.563675443310048,-6.508328855454036,,
NIFTY_2025-04-01T14:15:00+05:30_phase4_full_backtest,NIFTY,NIFTY25040923150PE,2025-04-09T15:30:00+05:30,23150.0,PE,1,75,2025-04-01T14:15:00+05:30,2025-04-03T12:00:00+05:30,112.92500000000001,131.325,actual,actual,1379.9999999999982,16.29400044277173,0.0,,
INFY_2025-04-02T09:45:00+05:30_phase4_full_backtest,INFY,INFY25042401540CE,2025-04-24T15:30:00+05:30,1540.0,CE,1,400,2025-04-02T09:45:00+05:30,2025-04-04T15:15:00+05:30,55.475,19.65,actual,actual,-14330.000000000002,-64.57863902658856,-64.57863902658856,,
TCS_2025-04-02T11:00:00+05:30_phase4_full_backtest,TCS,TCS25042403520CE,2025-04-24T15:30:00+05:30,3520.0,CE,1,175,2025-04-02T11:00:00+05:30,2025-04-04T15:15:00+05:30,111.95,30.425,actual,actual,-14266.875000000002,-72.82268870031265,-72.82268870031264,,
RELIANCE_2025-04-02T12:00:00+05:30_phase4_full_backtest,RELIANCE,RELIANCE25042401260PE,2025-04-24T15:30:00+05:30,1260.0,PE,1,500,2025-04-02T12:00:00+05:30,2025-04-04T15:15:00+05:30,28.1,48.52,actual,actual,10210.0,72.66903914590748,0.0,,
