ticker,exchange,segment,lot_size,last_updated,notes
NIFTY,NSE,INDEX,50,2024-01-01,Nifty 50 Index
BANKNIFTY,NSE,INDEX,15,2024-01-01,Bank Nifty Index
FINNIFTY,NSE,INDEX,40,2024-01-01,Nifty Financial Services Index
MIDCPNIFTY,NSE,INDEX,75,2024-01-01,Nifty Midcap Select Index
RELIANCE,NSE,EQUITY,505,2024-01-01,Reliance Industries Limited
TCS,NSE,EQUITY,150,2024-01-01,Tata Consultancy Services
INFY,NSE,EQUITY,300,2024-01-01,Infosys Limited
HDFCBANK,NSE,EQUITY,550,2024-01-01,HDFC Bank Limited
ICICIBANK,NSE,EQUITY,1375,2024-01-01,ICICI Bank Limited
SBIN,NSE,EQUITY,1500,2024-01-01,State Bank of India
BAJFINANCE,NSE,EQUITY,125,2024-01-01,Bajaj Finance Limited
BHARTIARTL,NSE,EQUITY,575,2024-01-01,Bharti Airtel Limited
ASIANPAINT,NSE,EQUITY,300,2024-01-01,Asian Paints Limited
MARUTI,NSE,EQUITY,50,2024-01-01,Maruti Suzuki India Limited
TATAMOTORS,NSE,EQUITY,1500,2024-01-01,Tata Motors Limited
WIPRO,NSE,EQUITY,1200,2024-01-01,Wipro Limited
SUNPHARMA,NSE,EQUITY,700,2024-01-01,Sun Pharmaceutical Industries Limited
ITC,NSE,EQUITY,1600,2024-01-01,ITC Limited
LT,NSE,EQUITY,300,2024-01-01,Larsen & Toubro Limited
AXISBANK,NSE,EQUITY,1200,2024-01-01,Axis Bank Limited
